Risk-On_n,Risk-On_4wk_avg,Risk-On_4wk_wr,Risk-On_13wk_avg,Risk-On_13wk_wr,Risk-On_26wk_avg,Risk-On_26wk_wr,Defensive_n,Defensive_4wk_avg,Defensive_4wk_wr,Defensive_13wk_avg,Defensive_13wk_wr,Defensive_26wk_avg,Defensive_26wk_wr,Neutral_n,Neutral_4wk_avg,Neutral_4wk_wr,Neutral_13wk_avg,Neutral_13wk_wr,Neutral_26wk_avg,Neutral_26wk_wr,Spread_26wk,Threshold_Def,Threshold_RO,EWMA_Span,Hysteresis
13,0.00917384906725046,0.6153846153846154,0.033770766058750505,0.7692307692307693,0.0742297353820203,0.8461538461538461,7,-0.004746981005307619,0.42857142857142855,0.029722410375365365,0.6666666666666666,0.058967544108213775,0.8333333333333334,20,0.009086848557103067,0.8,0.041486984742112765,0.85,0.09650328576118208,0.95,0.01526219127380652,5,-5,6,3
13,0.00917384906725046,0.6153846153846154,0.033770766058750505,0.7692307692307693,0.0742297353820203,0.8461538461538461,7,-0.004746981005307619,0.42857142857142855,0.029722410375365365,0.6666666666666666,0.058967544108213775,0.8333333333333334,20,0.009086848557103067,0.8,0.041486984742112765,0.85,0.09650328576118208,0.95,0.01526219127380652,5,-5,6,0
13,0.00917384906725046,0.6153846153846154,0.033770766058750505,0.7692307692307693,0.0742297353820203,0.8461538461538461,7,-0.004746981005307619,0.42857142857142855,0.029722410375365365,0.6666666666666666,0.058967544108213775,0.8333333333333334,20,0.009086848557103067,0.8,0.041486984742112765,0.85,0.09650328576118208,0.95,0.01526219127380652,5,-5,6,5
18,0.01568846674247855,0.7777777777777778,0.03150867598930424,0.7222222222222222,0.0713873046785945,0.8333333333333334,11,0.004096936820087463,0.5454545454545454,0.02599094338858855,0.7,0.06578414491807291,0.8,29,0.006109522622306941,0.7241379310344828,0.03144796668190868,0.7931034482758621,0.08427351503713688,0.896551724137931,0.005603159760521587,5,-5,4,0
18,0.01568846674247855,0.7777777777777778,0.03150867598930424,0.7222222222222222,0.0713873046785945,0.8333333333333334,11,0.004096936820087463,0.5454545454545454,0.02599094338858855,0.7,0.06578414491807291,0.8,29,0.006109522622306941,0.7241379310344828,0.03144796668190868,0.7931034482758621,0.08427351503713688,0.896551724137931,0.005603159760521587,5,-5,4,3
18,0.01568846674247855,0.7777777777777778,0.03150867598930424,0.7222222222222222,0.0713873046785945,0.8333333333333334,11,0.004096936820087463,0.5454545454545454,0.02599094338858855,0.7,0.06578414491807291,0.8,29,0.006109522622306941,0.7241379310344828,0.03144796668190868,0.7931034482758621,0.08427351503713688,0.896551724137931,0.005603159760521587,5,-5,4,5
14,0.004468265581201987,0.6428571428571429,0.015618072255986921,0.7142857142857143,0.056240057737786335,0.7857142857142857,12,0.015341199950649883,0.5833333333333334,0.027925949424623685,0.6363636363636364,0.06509256547964873,0.8181818181818182,26,0.005940929520229843,0.6153846153846154,0.03761986634049056,0.8076923076923077,0.07893983204723444,0.8846153846153846,-0.008852507741862393,6,-6,3,5
14,0.004468265581201987,0.6428571428571429,0.015618072255986921,0.7142857142857143,0.056240057737786335,0.7857142857142857,12,0.015341199950649883,0.5833333333333334,0.027925949424623685,0.6363636363636364,0.06509256547964873,0.8181818181818182,26,0.005940929520229843,0.6153846153846154,0.03761986634049056,0.8076923076923077,0.07893983204723444,0.8846153846153846,-0.008852507741862393,6,-6,3,3
14,0.004468265581201987,0.6428571428571429,0.015618072255986921,0.7142857142857143,0.056240057737786335,0.7857142857142857,12,0.015341199950649883,0.5833333333333334,0.027925949424623685,0.6363636363636364,0.06509256547964873,0.8181818181818182,26,0.005940929520229843,0.6153846153846154,0.03761986634049056,0.8076923076923077,0.07893983204723444,0.8846153846153846,-0.008852507741862393,6,-6,3,0
14,0.017902444533250707,0.7857142857142857,0.04002236214770865,0.7857142857142857,0.08043834121601336,0.8571428571428571,10,0.01345630300787889,0.6,0.044153321276124986,0.7777777777777778,0.08990830238053417,0.8888888888888888,24,0.008255072316557014,0.75,0.041834912619945284,0.8333333333333334,0.09824286785490993,0.9583333333333334,-0.009469961164520813,5,-5,5,0
14,0.017902444533250707,0.7857142857142857,0.04002236214770865,0.7857142857142857,0.08043834121601336,0.8571428571428571,10,0.01345630300787889,0.6,0.044153321276124986,0.7777777777777778,0.08990830238053417,0.8888888888888888,24,0.008255072316557014,0.75,0.041834912619945284,0.8333333333333334,0.09824286785490993,0.9583333333333334,-0.009469961164520813,5,-5,5,3
14,0.017902444533250707,0.7857142857142857,0.04002236214770865,0.7857142857142857,0.08043834121601336,0.8571428571428571,10,0.01345630300787889,0.6,0.044153321276124986,0.7777777777777778,0.08990830238053417,0.8888888888888888,24,0.008255072316557014,0.75,0.041834912619945284,0.8333333333333334,0.09824286785490993,0.9583333333333334,-0.009469961164520813,5,-5,5,5
7,0.008446545458496086,0.7142857142857143,0.01865616843425582,0.7142857142857143,0.05601414946376496,0.7142857142857143,8,0.0010080753495153166,0.375,0.041397875349706355,0.8571428571428571,0.08722323243695537,0.8571428571428571,15,0.010767049363274387,0.6,0.039262069613142256,0.8666666666666667,0.10006878906016384,0.9333333333333333,-0.03120908297319041,6,-6,6,3
7,0.008446545458496086,0.7142857142857143,0.01865616843425582,0.7142857142857143,0.05601414946376496,0.7142857142857143,8,0.0010080753495153166,0.375,0.041397875349706355,0.8571428571428571,0.08722323243695537,0.8571428571428571,15,0.010767049363274387,0.6,0.039262069613142256,0.8666666666666667,0.10006878906016384,0.9333333333333333,-0.03120908297319041,6,-6,6,0
7,0.008446545458496086,0.7142857142857143,0.01865616843425582,0.7142857142857143,0.05601414946376496,0.7142857142857143,8,0.0010080753495153166,0.375,0.041397875349706355,0.8571428571428571,0.08722323243695537,0.8571428571428571,15,0.010767049363274387,0.6,0.039262069613142256,0.8666666666666667,0.10006878906016384,0.9333333333333333,-0.03120908297319041,6,-6,6,5
6,-0.003924449325610997,0.6666666666666666,0.020150472790183005,0.6666666666666666,0.06588644727840574,0.8333333333333334,8,0.011584575400946928,0.42857142857142855,0.038422304536338214,0.8571428571428571,0.09835171490174577,0.8571428571428571,14,0.013782003873078263,0.7142857142857143,0.045171667547093994,0.8571428571428571,0.10286627101344013,0.9285714285714286,-0.032465267623340024,6,-6,7,0
6,-0.003924449325610997,0.6666666666666666,0.020150472790183005,0.6666666666666666,0.06588644727840574,0.8333333333333334,8,0.011584575400946928,0.42857142857142855,0.038422304536338214,0.8571428571428571,0.09835171490174577,0.8571428571428571,14,0.013782003873078263,0.7142857142857143,0.045171667547093994,0.8571428571428571,0.10286627101344013,0.9285714285714286,-0.032465267623340024,6,-6,7,3
